dataset,W,D,n,em,f1,acc,avg_tokens,avg_rounds
2wikimultihop,4,2,1000,0.362,0.4497,0.488,20831.1,1.53
bamboogle,2,8,125,0.4,0.5385,0.456,15525.4,1.92
hotpotqa,4,8,1000,0.427,0.5427,0.494,32805.9,2.03
musique,4,8,1000,0.127,0.2452,0.164,47285.5,2.67
